Word_Positive,Word_Negative,Bigram_Positive,Bigram_Negative,Length
689,1521,37,32,32
4254,5836,374,203,248
189,652,0,0,68
3579,5690,0,0,64
1045,1811,0,10,64
559,1274,0,0,123
690,1298,0,0,121
2259,1912,0,0,121
359,496,0,0,26
2878,3992,9,31,73
340,1115,0,0,9
8310,9351,942,352,219
78,432,0,0,3
355,376,0,0,98
719,1492,0,0,25
975,2727,10,94,66
1493,1792,180,271,50
2213,592,9,0,39
1703,1393,0,0,76
8485,11168,910,413,271
4554,4697,8,12,172
706,624,0,0,13
1853,3783,0,10,122
106,160,0,0,13
1455,1869,144,111,110
2235,3397,0,13,292
410,230,0,0,77
3900,4580,85,66,170
3992,3253,107,90,114
0,0,0,0,3
247,19,0,0,12
1013,1303,162,188,42
9189,12830,116,142,396
1660,1890,0,12,29
642,550,0,0,23
2441,3116,62,90,88
751,964,274,338,34
1969,2081,0,0,55
83,95,0,0,39
2557,4007,13,78,106
4720,2389,40,23,192
2081,2980,42,71,133
672,935,12,19,85
2290,2026,0,0,191
5554,3514,39,0,168
1697,1664,12,0,75
806,850,0,0,59
6692,7714,180,282,307
3427,4189,0,0,82
1594,2369,0,9,273
1865,825,42,0,19
1439,1146,13,0,16
1596,808,17,0,33
683,325,0,0,26
623,1464,122,323,129
4579,8190,0,82,266
2045,1411,17,12,178
1096,1339,0,0,14
389,1258,0,253,149
3808,3126,29,17,116
3602,5623,0,59,208
4120,2217,0,0,251
5509,3570,54,0,243
1124,1681,0,0,130
792,1267,0,9,76
1773,2215,0,0,117
765,691,62,42,78
3002,1631,910,296,56
42,20,0,0,8
438,78,0,0,14
4964,8940,21,211,174
1185,1155,18,0,51
385,92,0,0,3
1675,1160,910,296,64
1379,2637,0,27,108
1687,900,11,19,41
1316,1573,281,338,101
157,449,0,0,22
1599,1529,20,0,51
3396,4053,0,26,241
8577,7605,620,150,187
2391,3986,24,0,52
590,956,0,0,26
4851,5825,118,147,99
2533,2105,0,9,154
9894,5915,528,170,238
2066,3506,0,42,169
1425,1146,0,0,21
409,509,0,0,82
1313,1852,274,338,68
2474,3870,0,0,172
1124,1176,0,11,16
1440,607,18,0,138
250,628,0,0,34
1293,1925,0,9,67
140,237,0,0,40
3548,4244,178,155,185
1166,1885,0,0,88
6841,6781,525,193,234
1437,2347,0,0,48
855,1579,0,8,26
2024,2590,49,85,130
4756,7275,29,18,370
1870,3922,0,505,295
551,2053,0,0,78
2998,3664,10,78,82
3483,3070,75,125,78
2586,1738,20,0,44
3291,6128,0,56,107
5548,2900,169,30,249
973,2085,52,49,56
740,1935,0,21,77
5055,3692,37,0,104
660,1617,0,12,144
2122,2882,0,19,120
252,1027,0,0,22
725,1137,0,9,100
5985,9088,23,0,197
3250,6813,180,268,140
224,418,0,0,4
7091,10736,138,376,280
751,711,33,0,48
1102,1493,0,16,34
2846,3970,25,85,47
1616,1634,67,36,129
210,293,0,0,18
193,747,8,0,48
471,415,0,0,43
5738,10544,29,107,107
430,734,7,0,29
2768,3549,8,9,81
2382,1365,247,204,48
1166,1350,0,0,112
1531,1684,611,600,98
1283,2072,10,9,206
2557,2861,41,18,81
4217,5027,93,25,102
7066,8593,62,125,233
1546,505,14,0,85
1996,3091,16,0,12
6618,7048,36,0,133
1472,753,58,19,87
5170,5259,182,67,161
1577,312,8,0,65
3321,2179,910,296,79
799,393,0,0,96
2275,2558,11,17,279
555,955,0,0,66
682,841,0,0,120
858,879,0,8,26
609,1222,0,0,56
4092,5851,8,30,84
3331,4077,7,10,226
